"","Marca","Submarca","Versión","Modelo","Trans.","Comb.","Cilindros","Potencia..HP.","Tamaño..L.","Categoría","R..Ciudad..km.l.","R..Carr...km.l.","R..Comb...km.l.","R..Ajust...km.l.","CO2.g.km.","NOx..g.1000km.","Calificación.Gas.Ef..Inv.","Calificación.Contam..Aire"
"1039","SUZUKI","KIZASHI","GLS 4PTS 2.4L 4CIL 180HP CVT",2012,"CVT","Gasolina",4,180,2.4,"AUTOS DE LUJO",12.08,17.5,14.04,10.53,221,8,6,"9"
"1040","SUZUKI","KIZASHI","4PTS 2.4L 4CIL 185HP MAN",2013,"MAN","Gasolina",4,185,2.4,"AUTOS DE LUJO",12.08,17.5,14.04,10.53,221,8,6,"9"
"1041","SUZUKI","KIZASHI","GLS 4PTS 2.4L 4CIL 176HP CVT",2013,"CVT","Gasolina",4,176,2.4,"AUTOS DE LUJO",12.08,17.5,14.04,10.53,221,8,6,"9"
"1042","SUZUKI","KIZASHI","GLS 4PTS 2.4L 4CIL 176HP CVT",2014,"CVT","Gasolina",4,176,2.4,"AUTOS DE LUJO",12.08,17.5,14.04,10.53,221,8,6,"9"
"1043","AUDI","A5","SPORTBACK 5PTS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO",2013,"MULTITRONIC","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.06,21.74,15.08,11.31,206,7,7,"9"
"1044","AUDI","A5","CABRIO 2PTS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO",2013,"MULTITRONIC","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.06,21.74,15.08,11.31,206,7,7,"9"
"1046","BMW","428iA","COUPE 2PTS 2.0L 4CIL 245HP AUT TURBO",2016,"AUT","Gasolina",4,245,2,"AUTOS DE LUJO",12.05,18.87,15.78,11.84,197,32,7,"6"
"1047","BMW","428iA","GRAN COUPE 4PTS 2.0L 4CIL 245HP AUT TURBO",2016,"AUT","Gasolina",4,245,2,"AUTOS DE LUJO",12.05,18.87,15.78,11.84,197,32,7,"6"
"1048","AUDI","A5","COUPE 2PTS 2.0L 4CIL 211HP MULTITRONIC FRONT FSI TURBO",2013,"MULTITRONIC","Gasolina",4,211,2,"AUTOS DE LUJO",12.01,20.96,14.87,11.15,209,15,7,"8"
"1049","AUDI","A5","CABRIO 2PTS 2.0L 4CIL 211HP MULTITRONIC FRONT FSI TURBO",2013,"MULTITRONIC","Gasolina",4,211,2,"AUTOS DE LUJO",12.01,20.96,14.87,11.15,209,15,7,"8"
"1050","AUDI","A5","COUPE 2PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO",2013,"STRONIC","Gasolina",4,211,2,"AUTOS DE LUJO",12.01,20.96,14.87,11.15,209,15,7,"8"
"1051","AUDI","A5","CABRIO 2PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO",2013,"STRONIC","Gasolina",4,211,2,"AUTOS DE LUJO",12.01,20.96,14.87,11.15,209,15,7,"8"
"1054","PORSCHE","CAYMAN","2PTS 2.7L 6CIL 275HP PDK",2016,"PDK","Gasolina",6,275,2.7,"AUTOS DE LUJO",12,19.1,14.41,10.81,216,15,6,"8"
"1055","AUDI","A6","4PTAS 2.0L 4CIL 252HP STRONIC QUATTRO FSI TURBO",2017,"STRONIC","Gasolina",4,252,2,"AUTOS DE LUJO",12,17,13.83,10.37,225,9,6,"9"
